1,5635972
2,5689359
3,5746216
4,5836408
5,5913284
6,6004254
7,6110741
8,6346866
9,6481402
10,6593818
11,6663454
12,6757720
13,6774825
14,6792110
15,6987402
16,7509986
17,7519493
18,9017459
19,9292235
20,10164797
21,10252769
22,10344302
23,10448849
24,10520201
25,10886643
26,11067101
27,11167838
28,11257283
29,11661794
30,12235073
31,12532595
32,13293566
33,14164127
34,14929019
35,15086150
36,15283220
37,15478421
38,15717464
39,15991802
40,16261715
41,16719725
42,16904030
43,17284688
44,17406698
45,17959778
46,18374732
47,19122005
48,19369796
49,19769315
50,20219261
